id,is_team1_won
2,0
3,0
7,0
9,1
11,1
21,0
22,0
28,0
29,0
30,1
34,1
35,0
39,1
43,0
44,0
50,0
52,0
53,0
57,1
58,1
63,1
64,1
65,1
66,1
67,1
69,0
70,1
78,1
81,0
82,0
83,0
85,0
88,0
89,0
90,0
96,1
98,1
99,1
100,0
101,0
105,1
107,0
110,0
112,1
116,1
122,1
124,1
125,0
126,1
127,0
128,0
129,0
132,1
134,0
135,0
136,0
142,1
143,1
144,1
149,0
150,1
157,0
158,0
163,0
165,0
166,0
167,1
168,0
170,1
171,0
175,1
176,0
178,1
180,0
181,1
183,1
185,0
186,1
192,0
195,0
196,0
197,1
199,0
201,1
203,0
206,1
207,0
209,1
213,0
218,1
219,0
220,0
222,1
227,0
229,0
230,1
231,1
232,1
235,0
237,0
238,0
242,1
244,0
247,0
248,1
260,1
262,1
263,1
266,0
268,0
270,1
271,0
272,0
276,0
283,1
284,0
285,0
289,0
291,0
292,0
293,1
295,1
301,0
304,0
306,0
307,0
308,0
309,0
311,1
314,1
317,0
322,0
325,0
327,0
329,0
331,0
332,1
335,1
339,1
340,1
344,0
348,0
349,0
352,1
354,1
357,1
359,1
360,0
362,0
364,0
367,1
372,0
378,0
380,1
381,1
383,0
387,1
389,0
390,1
391,0
392,1
395,0
396,1
397,0
399,1
403,0
404,0
406,0
409,1
411,0
416,1
422,0
425,0
426,0
430,0
432,0
434,1
437,1
438,1
440,0
443,0
444,0
445,0
447,0
448,0
449,0
451,1
452,1
458,0
459,0
460,0
462,0
465,1
466,0
470,0
475,1
477,0
478,1
479,1
480,1
482,0
485,0
492,0
493,1
496,1
497,0
499,0
504,0
508,0
509,1
513,0
516,1
518,0
519,0
520,0
522,1
529,0
531,0
535,0
538,1
539,1
541,1
542,0
544,1
546,0
548,1
549,1
550,0
552,1
554,1
555,1
559,1
562,1
564,0
565,0
566,1
568,0
569,1
574,0
579,0
580,1
581,0
584,0
586,1
589,1
590,0
593,0
596,1
600,1
602,0
603,1
604,0
605,0
607,1
609,0
611,0
612,0
615,0
617,0
619,1
620,0
622,1
624,1
631,0
632,0
636,0
639,0
640,1
642,0
646,0
653,0
655,1
656,1
657,1
660,1
663,0
664,1
665,1
667,0
668,0
671,0
675,1
676,1
679,1
680,1
681,0
684,1
689,1
690,1
693,1
694,0
695,1
696,1
697,1
698,0
700,1
701,0
703,1
706,1
707,0
709,0
712,0
715,1
716,0
721,1
726,0
727,1
731,0
732,1
736,0
739,0
740,0
746,0
749,1
750,1
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
760,1
761,0
763,1
770,1
779,0
782,0
785,1
786,0
787,0
788,0
794,1
795,0
800,0
802,0
804,0
805,1
806,1
810,0
811,0
813,0
815,1
817,0
819,0
821,0
823,0
824,1
825,1
826,0
827,1
829,0
830,1
831,1
832,0
834,0
835,0
836,1
839,0
840,0
841,0
844,1
845,1
846,0
849,0
853,0
858,1
861,0
862,1
865,1
867,1
869,0
870,0
872,1
873,0
874,1
876,0
877,0
878,1
879,1
883,0
887,0
892,0
893,1
894,1
895,0
899,0
904,1
906,0
908,0
909,1
914,1
915,1
916,1
920,0
924,0
925,1
927,0
935,0
937,0
941,1
942,1
943,0
945,0
946,1
947,0
948,1
952,0
954,0
955,1
956,0
957,0
960,0
965,0
967,1
969,1
973,1
976,0
978,1
980,1
981,0
983,0
986,1
987,1
991,0
993,0
995,0
996,0
999,1
1002,1
1003,0
1005,0
1008,0
1017,1
1018,0
1021,0
1022,0
1025,1
1026,1
1027,1
1031,1
1032,0
1037,0
1039,1
1041,1
1042,0
1043,0
1044,0
1047,0
1048,0
1049,0
1051,1
1059,0
1060,1
1061,1
1062,1
1063,0
1064,0
1066,0
1067,1
1070,1
1071,0
1072,1
1073,0
1074,0
1081,1
1083,1
1086,0
1087,0
1089,0
1091,1
1092,1
1093,0
1098,1
1101,1
1104,0
1106,0
1108,1
1110,0
1113,0
1117,1
1119,0
1121,0
1123,0
1132,0
1136,0
1141,0
1145,1
1146,1
1148,1
1149,0
1150,0
1152,1
1154,1
1156,0
1161,1
1163,0
1166,1
1169,0
1174,1
1175,0
1176,0
1177,1
1179,1
1181,1
1184,0
1185,0
1186,1
1187,1
1188,1
1194,0
1195,1
1197,1
1199,0
1202,1
1204,1
1205,0
1206,0
1208,0
1211,0
1222,0
1223,0
1226,0
1227,0
1229,1
1232,1
1234,0
1237,1
1239,1
1241,0
1244,0
1246,0
1252,1
1253,0
1258,0
1260,0
1266,0
1267,0
1275,0
1278,0
1282,0
1283,0
1286,1
1289,1
1290,1
1292,0
1294,1
1295,0
1297,0
1301,0
1303,0
1304,0
1307,1
1309,0
1313,1
1315,1
1317,1
1318,0
1322,0
1325,0
1326,1
1331,1
1333,0
1335,1
1337,0
1339,0
1341,1
1343,1
1344,0
1346,1
1347,1
1349,0
1353,1
1354,0
1358,1
1359,1
1360,1
1361,0
1362,1
1371,1
1372,1
1374,1
1377,0
1378,0
1381,0
1382,0
1384,0
1386,1
1388,0
1389,0
1390,0
1394,1
1397,0
1398,0
1400,1
1404,1
1407,0
1412,1
1417,0
1418,0
1422,1
1428,1
1429,0
1430,0
1433,0
1435,0
1436,1
1438,1
1440,1
1441,0
1442,1
1448,0
1449,0
1454,0
1457,1
1458,1
1460,1
1462,0
1466,0
1470,1
1471,1
1473,1
1474,0
1475,1
1476,0
1477,1
1480,1
1483,1
1484,0
1486,1
1487,1
1488,0
1490,1
1491,0
1495,1
1499,0
1504,1
1505,1
1506,1
1507,1
1510,0
1512,1
1513,1
1515,0
1516,0
1518,1
1519,0
1520,0
1523,1
1525,0
1530,0
1533,1
1538,0
1539,1
1541,0
1545,0
1547,0
1548,0
1549,1
1551,1
1560,0
1562,0
1564,0
1568,1
1571,0
1572,0
1573,0
1574,1
1575,0
1577,0
1581,1
1583,0
1586,0
1587,0
1594,1
1595,0
1596,0
1602,1
1604,1
1605,1
1606,0
1607,0
1610,0
1614,1
1615,0
1616,0
1617,0
1619,0
1621,1
1623,1
1625,1
1629,0
1631,1
1634,0
1636,0
1637,0
1638,0
1642,0
1644,0
1646,0
1647,0
1651,0
1653,0
1656,1
1657,1
1659,0
1663,1
1664,1
1665,1
1670,0
1671,1
1672,1
1674,1
1678,0
1681,1
1682,0
1683,0
1685,0
1692,0
1696,1
1698,0
1702,1
1703,1
1704,1
1706,1
1707,0
1708,0
1711,1
1712,0
1722,0
1723,1
1729,1
1732,1
1734,1
1735,1
1739,0
1741,0
1746,0
1748,1
1751,0
1752,0
1753,0
1754,1
1757,0
1760,0
1762,0
1766,1
1767,1
1769,1
1772,0
1774,0
1777,1
1778,0
1780,1
1782,0
1783,1
1786,1
1788,0
1792,0
1794,0
1796,1
1798,1
1803,0
1804,1
1806,1
1811,1
1813,1
1815,0
1817,1
1821,1
1822,1
1825,1
1826,0
1829,0
1830,1
1832,1
1833,0
1835,1
1838,0
1843,1
1844,0
1848,1
1849,0
1850,1
1851,1
1855,1
1857,1
1859,0
1863,1
1864,1
1866,1
1867,1
1868,1
1870,1
1872,1
1880,1
1881,0
1883,1
1885,0
1888,1
1889,1
1890,0
1891,1
1892,1
1894,1
1896,0
1902,0
1903,0
1904,0
1907,0
1909,0
1914,0
1916,0
1919,1
1922,1
1923,1
1926,1
1928,1
1930,1
1932,0
1936,1
1938,0
1940,0
1941,1
1945,1
1947,0
1951,0
1953,0
1954,0
1959,0
1963,0
1965,0
1971,0
1974,0
1975,1
1977,1
1981,1
1983,0
1985,0
1986,0
1987,0
1988,0
1990,0
1997,1
2000,1
2005,0
2007,1
2009,0
2010,1
2013,1
2014,1
2015,0
2016,1
2019,1
2020,1
2021,1
2023,0
2026,0
2029,1
2039,1
2043,0
2052,1
2053,0
2066,1
2073,1
2074,1
2077,1
2082,0
2083,1
2084,0
2089,1
2090,1
2092,0
2094,0
2096,1
2097,1
2098,1
2099,1
2100,1
2105,0
2106,0
2107,1
2113,1
2122,1
2126,1
2127,0
2130,1
2132,0
2133,0
2136,1
2137,1
2139,1
2142,1
2144,1
2146,0
2147,1
2149,1
2151,0
2152,1
2158,1
2160,0
2165,1
2167,1
2168,1
2169,1
2171,0
2173,1
2175,0
2176,0
2178,0
2181,1
2190,1
2192,0
2194,1
2205,0
2209,1
2213,0
2217,1
2219,0
2226,0
2228,1
2229,1
2230,0
2233,0
2235,0
2236,0
2237,0
2245,1
2246,0
2247,1
2250,1
2256,0
2261,1
2264,0
2266,1
2267,0
2270,0
2271,1
2273,0
2278,1
2279,1
2281,1
2286,1
2287,1
2292,1
2295,0
2296,0
2297,1
2299,1
2300,1
2307,1
2311,0
2314,0
2321,1
2322,0
2327,0
2328,1
2330,0
2331,0
2332,0
2333,0
2334,0
2338,0
2341,1
2345,0
2350,0
2352,0
2359,0
2361,0
2364,0
2369,0
2370,1
2376,1
2377,0
2379,1
2380,0
2382,0
2383,1
2386,1
2387,0
2391,0
2393,0
2394,0
2395,1
2396,1
2397,1
2399,1
2403,1
2406,1
2407,1
2408,0
2409,1
2412,1
2413,1
2415,0
2416,0
2418,0
2420,1
2423,0
2424,0
2426,0
2427,1
2428,1
2430,0
2431,0
2432,0
2433,0
2436,1
2437,0
2439,0
2443,0
2444,1
2446,0
2447,0
2448,1
2450,1
2451,0
2452,1
2457,0
2460,1
2467,0
2468,1
2469,1
2470,0
2471,1
2472,0
2474,0
2475,0
2478,0
2479,0
2480,0
2481,0
2482,1
2483,0
2486,0
2488,1
2490,1
2492,0
2495,0
2496,1
2499,0
2500,0
2501,1
2502,0
2512,1
2515,1
2517,0
2518,1
2522,1
2525,1
2527,0
2531,0
2532,0
2534,1
2535,1
2536,1
2538,0
2539,0
2541,1
2543,0
2545,1
2546,0
2547,1
2548,1
2551,1
2552,0
2553,0
2555,0
2562,0
2568,0
2569,0
2573,1
2577,0
2578,0
2580,0
2581,0
2584,0
2587,0
2588,1
2589,0
2591,1
2592,0
2594,1
2598,0
2600,1
2602,1
2604,0
2605,0
2610,1
2612,0
2613,1
2614,0
2615,0
2618,1
2619,0
2620,1
2627,1
2630,1
2632,1
2633,0
2635,0
2641,1
2642,1
2646,0
2649,0
2654,0
2662,1
2663,0
2664,1
2667,1
2668,0
2670,1
2671,0
2672,0
2674,1
2676,0
2677,1
2678,1
2679,1
2682,0
2686,1
2688,0
2691,0
2694,1
2698,1
2699,0
2701,0
2702,1
2706,0
2709,0
2710,0
2716,1
2719,0
2720,1
2721,0
2723,1
2727,0
2728,0
2734,0
2735,1
2736,0
2741,0
2742,0
2749,0
2752,1
2757,0
2758,0
2759,0
2761,1
2764,0
2766,1
2769,0
2773,0
2774,1
2778,0
2780,0
2786,1
2790,0
2791,0
2794,0
2795,0
2797,1
2799,1
2800,0
2801,1
2804,0
2805,0
2807,1
2808,1
2810,0
2814,1
2819,0
2825,1
2827,1
2832,1
2835,1
2837,1
2838,1
2839,0
2840,1
2845,1
2846,0
2852,1
2854,0
2859,1
2860,1
2861,0
2862,1
2865,1
2866,1
2869,0
2871,0
2872,1
2873,0
2880,0
2881,1
2882,0
2884,0
2885,0
2889,0
2894,0
2895,0
2896,1
2898,1
2901,1
2905,1
2906,0
2908,0
2909,0
2910,1
2914,0
2915,1
2918,0
2919,0
2922,1
2924,0
2925,1
2927,1
2931,0
2932,1
2938,0
2940,1
2943,1
2944,1
2946,0
2951,1
2959,1
2961,1
2962,1
2963,0
2965,0
2966,0
2967,1
2968,1
2970,1
2972,0
2974,1
2975,0
2976,0
2978,1
2983,1
2984,0
2990,1
2995,0
2996,0
3000,1
3004,0
3009,1
3015,1
3016,0
3017,1
3021,0
3024,1
3025,0
3026,1
3027,0
3028,1
3030,0
3031,0
3032,0
3033,1
3037,0
3038,0
3039,1
3043,1
3045,0
3047,0
3051,0
3055,0
3060,1
3063,0
3065,0
3070,0
3072,1
3075,1
3076,1
3078,1
3079,0
3080,0
3082,1
3083,0
3084,1
3093,1
3094,1
3096,0
3099,1
3100,0
3101,1
3103,0
3107,0
3112,0
3115,1
3118,0
3119,1
3120,0
3124,0
3129,0
3130,1
3138,0
3143,1
3147,1
3148,1
3152,0
3155,0
3156,0
3161,1
3162,1
3166,0
3168,1
3170,0
3174,1
3177,1
3185,0
3186,1
3189,1
3190,0
3192,0
3193,1
3197,1
3198,0
3200,1
3210,0
3211,0
3212,0
3215,1
3216,1
3218,1
3221,1
3223,0
3224,0
3230,1
3233,1
3235,0
3236,1
3237,0
3239,1
3241,0
3243,1
3245,1
3246,0
3248,1
3249,0
3250,1
3253,0
3256,1
3261,1
3266,0
3268,1
3270,0
3271,1
3273,0
3277,1
3280,1
3281,1
3282,1
3284,0
3287,0
3288,0
3289,0
3291,1
3293,0
3295,1
3298,1
3300,1
3304,0
3305,1
3306,1
3309,1
3310,1
3314,1
3317,0
3318,0
3319,0
3323,1
3324,1
3327,0
3328,0
3331,0
3335,1
3337,0
3339,0
3341,1
3346,1
3348,1
3350,1
3354,1
3356,1
3361,1
3366,1
3368,1
3369,0
3372,1
3373,1
3379,1
3385,1
3393,0
3395,0
3399,0
3400,1
3403,1
3405,0
3410,0
3412,1
3415,0
3416,1
3418,1
3420,1
3421,1
3422,1
3431,0
3432,0
3433,0
3435,1
3438,1
3446,0
3447,0
3448,1
3449,0
3452,0
3453,0
3456,1
3459,1
3462,1
3467,0
3469,1
3470,1
3473,1
3474,0
3476,0
3477,0
3479,1
3483,1
3485,1
3487,0
3496,1
3499,1
3501,0
3502,1
3504,1
3505,0
3507,0
3508,1
3510,0
3511,0
3514,0
3516,1
3524,1
3525,1
3530,0
3532,0
3533,1
3535,0
3536,1
3537,1
3539,1
3545,0
3547,0
3548,0
3550,0
3552,0
3560,0
3564,0
3567,1
3573,1
3576,0
3577,0
3581,0
3585,0
3590,1
3592,1
3593,0
3594,0
3601,1
3604,1
3608,0
3609,1
3614,0
3616,1
3621,0
3622,1
3628,0
3630,0
3631,1
3632,1
3639,1
3640,0
3644,0
3646,1
3650,1
3658,0
3660,1
3661,1
3662,0
3665,0
3666,1
3670,0
3673,1
3674,0
3675,1
3679,0
3683,1
3685,0
3687,1
3688,0
3689,0
3693,0
3696,1
3698,1
3699,0
3701,1
3702,1
3703,0
3707,0
3708,0
3711,0
3719,0
3720,0
3721,1
3724,0
3725,1
3727,1
3728,0
3733,0
3734,1
3735,1
3736,1
3737,1
3743,0
3745,1
3747,1
3751,0
3752,0
3759,1
3762,0
3763,1
3764,0
3767,1
3771,0
3772,1
3774,1
3775,1
3776,1
3780,0
3786,1
3787,0
3793,1
3795,0
3796,0
3799,1
3805,0
3806,0
3807,0
3809,0
3813,0
3814,1
3815,0
3818,0
3821,1
3826,1
3827,1
3828,1
3829,1
3830,0
3831,0
3833,0
3837,1
3844,0
3845,0
3846,0
3847,0
3851,0
3853,1
3855,1
3860,1
3868,1
3870,1
3871,0
3878,0
3881,1
3882,1
3883,0
3885,1
3886,0
3889,1
3890,1
3892,0
3895,0
3896,0
3897,1
3904,0
3905,1
3907,0
3908,1
3909,1
3910,0
3914,1
3918,1
3919,0
3924,0
3925,1
3928,1
3929,1
3931,0
3933,0
3938,0
3941,0
3942,1
3943,0
3945,0
3948,0
3950,1
3951,0
3954,0
3955,1
3956,0
3959,0
3961,1
3963,1
3964,1
3967,1
3970,1
3981,1
3983,0
3984,1
3986,0
3989,1
3990,1
3991,1
3995,0
4001,1
4002,1
4003,0
4013,0
4016,0
4017,0
4018,1
4025,0
4027,0
4030,1
4031,0
4033,0
4034,0
4036,1
4038,0
4041,1
4044,1
4046,0
4047,1
4053,1
4062,0
4064,0
4068,0
4069,1
4072,1
4073,0
4076,1
4077,0
4078,0
4086,0
4089,1
4091,0
4092,0
4094,1
4095,0
4100,0
4102,1
4105,1
4107,1
4109,1
4110,1
4118,1
4122,1
4126,0
4128,1
4129,1
4134,0
4137,0
4143,1
4153,0
4154,0
4158,1
4161,1
4166,1
